Company Name,Phone,Address,Years in Business,Owner,Website,Search Term,City,Timestamp
"Gerhard Borbonus Landscaping,Inc.","(208) 362-0525","Boise, ID 83706","53","Mr. Gerhard Borbonus, Owner","https://www.gblandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Green Zebra Landscaping","(208) 941-2466","","22","Mr. Evan Huntman, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Idaho Landscape Solutions, LLC.","(208) 513-6104","Boise, ID 83707","14","Mr. Sam Johnson, Owner","https://www.idaholandscapesolutions.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Capitol Landscape, Inc.","(208) 703-1059","","19","Mr. Aitor Biain, President","https://capitollandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Raccoon Landscaping, LLC","(208) 484-0928","","11","Mr. Duane Coon, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Flutterby Gardens Landscaping, LLC","(208) 571-2170","Boise, ID 83714","20","Ms. Elisa Clark, Owner","https://www.goflutterby.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Boise Landscape & Lawn","(208) 412-3613","Boise, ID 83706","20","Damion Lowe, Owner","https://www.boiselandscapelawn.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Van Shaw Enterprises LLC","(208) 918-6562","Boise, ID 83707-3346","21","Mr. Van Shaw Jr., Member","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Capitol Landscape, Inc.","(208) 703-1059","","19","Mr. Aitor Biain, President","https://capitollandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Little Job Landscape","(208) 384-0888","Boise, ID 83705","36","Mr. Dirk Larson, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Metcalf Landscape Contractors","(208) 362-2411","Boise, ID 83709-3245","43","Mr. Tony Peck, Owner","https://www.metcalflandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"As You Wish Landscaping & Handyman","(208) 407-5998","Boise, ID 83705","13","Mr. Tyson McCoy, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Gerhard Borbonus Landscaping,Inc.","(208) 362-0525","Boise, ID 83706","53","Mr. Gerhard Borbonus, Owner","https://www.gblandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Landscape Technologies LLC","(208) 559-5013","","16","Mr. Randy Sohn Jr., Owner","https://www.landscapetechidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Glenn Gearhard II Landscape Architect & Construction","(208) 336-2250","Boise, ID 83703-5858","41","Mr. Glenn Gearhard II, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
