Company Name,City,Search Term,Phone,Address,Years in Business,Owner,Website
"Gerhard Borbonus Landscaping,Inc.","Boise, ID","landscaping","(208) 362-0525","Boise, ID 83706","53","Mr. Gerhard Borbonus, Owner","https://www.gblandscaping.com/"
"Green Zebra Landscaping","Boise, ID","landscaping","(208) 941-2466","","22","Mr. Evan Huntman, Owner",""
"Idaho Landscape Solutions, LLC.","Boise, ID","landscaping","(208) 513-6104","Boise, ID 83707","14","Mr. Sam Johnson, Owner","https://www.idaholandscapesolutions.com/"
"Capitol Landscape, Inc.","Boise, ID","landscaping","(208) 703-1059","","19","Mr. Aitor Biain, President","https://capitollandscape.com/"
"Raccoon Landscaping, LLC","Boise, ID","landscaping","(208) 484-0928","","11","Mr. Duane Coon, Owner",""
"Flutterby Gardens Landscaping, LLC","Boise, ID","landscaping","(208) 571-2170","Boise, ID 83714","20","Ms. Elisa Clark, Owner","https://www.goflutterby.com/"
"Boise Landscape & Lawn","Boise, ID","landscaping","(208) 412-3613","Boise, ID 83706","20","Damion Lowe, Owner","https://www.boiselandscapelawn.com/"
"Kip's Clean Cut LLC","Boise, ID","landscaping","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/"
"Van Shaw Enterprises LLC","Boise, ID","landscaping","(208) 918-6562","Boise, ID 83707-3346","21","Mr. Van Shaw Jr., Member",""
"Little Job Landscape","Boise, ID","landscaping","(208) 384-0888","Boise, ID 83705","36","Mr. Dirk Larson, Owner",""
"Metcalf Landscape Contractors","Boise, ID","landscaping","(208) 362-2411","Boise, ID 83709-3245","43","Mr. Tony Peck, Owner","https://www.metcalflandscaping.com/"
"As You Wish Landscaping & Handyman","Boise, ID","landscaping","(208) 407-5998","Boise, ID 83705","13","Mr. Tyson McCoy, Owner",""
"Landscape Technologies LLC","Boise, ID","landscaping","(208) 559-5013","","16","Mr. Randy Sohn Jr., Owner","https://www.landscapetechidaho.com/"
"Glenn Gearhard II Landscape Architect & Construction","Boise, ID","landscaping","(208) 336-2250","Boise, ID 83703-5858","41","Mr. Glenn Gearhard II, Owner",""
"Expertise Landscape Services, Inc.","Boise, ID","landscaping","(208) 362-4980","Boise, ID 83714","21","Mr. Shayne Geib, President",""
"Professional Landscaping","Boise, ID","landscaping","(208) 871-7669","Boise, ID 83709","15","",""
"Basin View Landscape","Boise, ID","landscaping","(208) 362-0626","Boise, ID 83703-5237","33","Mr. Neal Warren, Owner",""
"A To Z Sprinklers & Landscaping","Boise, ID","landscaping","(208) 658-8080","Boise, ID 83704-6711","38","Mr. Ken Cumpton, President","https://www.atozsprinklers.com/"
"Infinite Landscapes","Boise, ID","landscaping","(208) 921-0692","Boise, ID 83709","11","Customer",""
"Al's Landscape & Sprinkler","Boise, ID","landscaping","(208) 861-4809","Boise, ID 83705","21","Mr. Allen Stenquist, Owner",""
"Forever Green (The Organic Difference)","Boise, ID","landscaping","(208) 344-8300","Boise, ID 83714-6408","27","Mr. Brian Pooley, President",""
"Willowglenn Landscape","Boise, ID","landscaping","(208) 331-9007","Boise, ID 83709-4321","22","Mr. Jason Doran, Owner","https://www.wglandscape.com/"
"Murillo's Landscape and Hydroseeding, LLC","Boise, ID","landscaping","(208) 362-4032","Boise, ID 83709","27","Mr. Robert Murillo, Owner","https://www.facebook.com/MurillosLandscape/"
